Date,T,Pressure,Tpot,Tdew,Rh,Sh
2020-01-01T00:10:00.0000000Z,0.71,1008.89,273.18,-1.33,86.1,3.42
2020-01-01T00:20:00.0000000Z,0.75,1008.76,273.22,-1.44,85.2,3.39
2020-01-01T00:30:00.0000000Z,0.73,1008.66,273.21,-1.48,85.1,3.39
2020-01-01T00:40:00.0000000Z,0.37,1008.64,272.86,-1.64,86.3,3.35
2020-01-01T00:50:00.0000000Z,0.33,1008.61,272.82,-1.5,87.4,3.38
2020-01-01T01:00:00.0000000Z,0.34,1008.44,272.84,-1.54,87.1,3.37
2020-01-01T01:10:00.0000000Z,0.19,1008.49,272.69,-1.65,87.4,3.34
2020-01-01T01:20:00.0000000Z,0.03,1008.4,272.53,-1.7,88.1,3.33
2020-01-01T01:30:00.0000000Z,0.11,1008.29,272.63,-1.61,88.1,3.35
2020-01-01T01:40:00.0000000Z,0.22,1008.28,272.73,-1.62,87.4,3.35
2020-01-01T01:50:00.0000000Z,-0.04,1008.24,272.48,-1.85,87.5,3.29
2020-01-01T02:00:00.0000000Z,-0.21,1008.32,272.3,-1.78,89.1,3.31
2020-01-01T02:10:00.0000000Z,-0.1,1008.24,272.42,-1.74,88.6,3.32
2020-01-01T02:20:00.0000000Z,-0.16,1008.35,272.35,-1.88,88.1,3.29
2020-01-01T02:30:00.0000000Z,-0.22,1008.3,272.3,-1.82,88.9,3.3
2020-01-01T02:40:00.0000000Z,-0.06,1008.4,272.45,-1.77,88.2,3.32
2020-01-01T02:50:00.0000000Z,-0.17,1008.39,272.34,-1.81,88.6,3.3
2020-01-01T03:00:00.0000000Z,-0.05,1008.46,272.45,-1.71,88.5,3.33
2020-01-01T03:10:00.0000000Z,-0.21,1008.15,272.31,-1.84,88.7,3.3
2020-01-01T03:20:00.0000000Z,-0.77,1008.07,271.77,-2.31,89.2,3.18
2020-01-01T03:30:00.0000000Z,-0.93,1008.12,271.61,-2.26,90.6,3.2
2020-01-01T03:40:00.0000000Z,-0.86,1008.04,271.68,-2.17,90.8,3.22
2020-01-01T03:50:00.0000000Z,-0.87,1008.16,271.66,-2.16,90.9,3.22
2020-01-01T04:00:00.0000000Z,-1.02,1008,271.52,-2.31,90.9,3.19
2020-01-01T04:10:00.0000000Z,-1.15,1007.76,271.41,-2.37,91.4,3.17
2020-01-01T04:20:00.0000000Z,-1.08,1007.84,271.47,-2.25,91.7,3.2
2020-01-01T04:30:00.0000000Z,-1.59,1007.85,270.96,-2.93,90.5,3.04
2020-01-01T04:40:00.0000000Z,-1.82,1008.02,270.72,-2.92,92.1,3.04
2020-01-01T04:50:00.0000000Z,-1.84,1007.92,270.71,-2.9,92.4,3.05
2020-01-01T05:00:00.0000000Z,-1.84,1007.63,270.73,-2.78,93.2,3.08
2020-01-01T05:10:00.0000000Z,-2.14,1007.63,270.44,-3.21,92.3,2.98
2020-01-01T05:20:00.0000000Z,-2.34,1007.9,270.21,-3.26,93.4,2.97
2020-01-01T05:30:00.0000000Z,-2.2,1007.99,270.35,-3.05,93.8,3.01
2020-01-01T05:40:00.0000000Z,-2.3,1007.85,270.25,-3.18,93.7,2.99
2020-01-01T05:50:00.0000000Z,-2.4,1007.81,270.16,-3.21,94.1,2.98
2020-01-01T06:00:00.0000000Z,-2.51,1007.81,270.05,-3.34,94,2.95
2020-01-01T06:10:00.0000000Z,-2.83,1007.91,269.72,-3.64,94.1,2.88
2020-01-01T06:20:00.0000000Z,-2.79,1008.06,269.75,-3.53,94.6,2.91
2020-01-01T06:30:00.0000000Z,-2.74,1008.22,269.79,-3.45,94.8,2.92
2020-01-01T06:40:00.0000000Z,-2.63,1008.19,269.9,-3.31,95,2.95
2020-01-01T06:50:00.0000000Z,-2.5,1008.21,270.02,-3.19,95,2.98
2020-01-01T07:00:00.0000000Z,-2.26,1008.17,270.27,-2.94,95,3.04
2020-01-01T07:10:00.0000000Z,-2.31,1008.16,270.23,-3.09,94.3,3
2020-01-01T07:20:00.0000000Z,-2.53,1008.17,270,-3.39,93.8,2.94
2020-01-01T07:30:00.0000000Z,-2.68,1008.13,269.86,-3.49,94.1,2.92
2020-01-01T07:40:00.0000000Z,-2.73,1008.25,269.79,-3.53,94.2,2.91
2020-01-01T07:50:00.0000000Z,-2.79,1008.17,269.74,-3.57,94.3,2.9
2020-01-01T08:00:00.0000000Z,-2.84,1008.16,269.69,-3.6,94.5,2.89
2020-01-01T08:10:00.0000000Z,-2.89,1008.12,269.64,-3.65,94.5,2.88
2020-01-01T08:20:00.0000000Z,-3.02,1008.12,269.51,-3.79,94.4,2.85
2020-01-01T08:30:00.0000000Z,-2.84,1008.12,269.7,-3.56,94.7,2.9
2020-01-01T08:40:00.0000000Z,-2.91,1008.04,269.63,-3.75,93.9,2.86
2020-01-01T08:50:00.0000000Z,-3.11,1007.96,269.44,-3.99,93.6,2.81
2020-01-01T09:00:00.0000000Z,-3.08,1008.07,269.46,-3.9,94,2.83
2020-01-01T09:10:00.0000000Z,-3.03,1008.17,269.5,-3.89,93.8,2.83
2020-01-01T09:20:00.0000000Z,-2.95,1008.28,269.58,-3.86,93.4,2.84
2020-01-01T09:30:00.0000000Z,-3.01,1008.2,269.52,-3.99,92.9,2.81
2020-01-01T09:40:00.0000000Z,-2.84,1008.31,269.69,-3.89,92.4,2.83
2020-01-01T09:50:00.0000000Z,-2.67,1008.41,269.84,-3.71,92.5,2.87
2020-01-01T10:00:00.0000000Z,-1.93,1008.45,270.58,-3.18,91.1,2.98
2020-01-01T10:10:00.0000000Z,-1.53,1008.5,270.98,-3.33,87.4,2.95
2020-01-01T10:20:00.0000000Z,-1.25,1008.46,271.25,-3.27,86.1,2.96
2020-01-01T10:30:00.0000000Z,-1.24,1008.49,271.26,-3.25,86.1,2.97
2020-01-01T10:40:00.0000000Z,-1.32,1008.37,271.19,-3.29,86.4,2.96
2020-01-01T10:50:00.0000000Z,-1.03,1008.36,271.49,-3.07,85.9,3.01
2020-01-01T11:00:00.0000000Z,-1.14,1008.34,271.37,-3.08,86.6,3.01
2020-01-01T11:10:00.0000000Z,-0.83,1008.21,271.7,-2.89,85.8,3.05
2020-01-01T11:20:00.0000000Z,-0.65,1008.02,271.89,-2.77,85.5,3.08
2020-01-01T11:30:00.0000000Z,-0.43,1008.03,272.11,-2.63,85,3.11
2020-01-01T11:40:00.0000000Z,-0.4,1007.84,272.16,-2.63,84.8,3.11
2020-01-01T11:50:00.0000000Z,-0.06,1007.69,272.5,-2.41,84.1,3.16
2020-01-01T12:00:00.0000000Z,0.68,1007.62,273.24,-2.03,82,3.25
2020-01-01T12:10:00.0000000Z,0.93,1007.59,273.5,-2.03,80.5,3.25
2020-01-01T12:20:00.0000000Z,1.23,1007.56,273.8,-1.8,80.1,3.31
2020-01-01T12:30:00.0000000Z,1.7,1007.44,274.27,-1.66,78.3,3.35
2020-01-01T12:40:00.0000000Z,1.98,1007.29,274.57,-1.52,77.5,3.38
2020-01-01T12:50:00.0000000Z,2.62,1007.12,275.22,-1.29,75.3,3.44
2020-01-01T13:00:00.0000000Z,2.83,1007.04,275.44,-1.29,74.2,3.44
2020-01-01T13:10:00.0000000Z,2.87,1006.98,275.48,-1.26,74.1,3.45
2020-01-01T13:20:00.0000000Z,3.09,1006.83,275.71,-1.13,73.7,3.48
2020-01-01T13:30:00.0000000Z,3.86,1006.79,276.48,-0.91,70.9,3.54
2020-01-01T13:40:00.0000000Z,3.84,1006.69,276.48,-0.97,70.7,3.52
2020-01-01T13:50:00.0000000Z,4.03,1006.6,276.67,-0.92,70,3.53
2020-01-01T14:00:00.0000000Z,3.7,1006.41,276.35,-1.09,70.8,3.49
2020-01-01T14:10:00.0000000Z,3.45,1006.3,276.11,-1.06,72.2,3.5
2020-01-01T14:20:00.0000000Z,3.64,1006.26,276.3,-1.03,71.4,3.51
2020-01-01T14:30:00.0000000Z,3.89,1006.19,276.56,-1,70.3,3.52
2020-01-01T14:40:00.0000000Z,3.87,1006.06,276.55,-1,70.4,3.52
2020-01-01T14:50:00.0000000Z,4.32,1006.01,277.01,-0.83,69.02,3.56
2020-01-01T15:00:00.0000000Z,4.58,1006.01,277.27,-0.75,68.2,3.58
2020-01-01T15:10:00.0000000Z,4.2,1006.03,276.89,-0.86,69.47,3.55
2020-01-01T15:20:00.0000000Z,4.07,1006.02,276.76,-0.82,70.3,3.56
2020-01-01T15:30:00.0000000Z,4.44,1006.02,277.13,-0.69,69.19,3.6
2020-01-01T15:40:00.0000000Z,4.5,1005.99,277.19,-0.73,68.67,3.59
2020-01-01T15:50:00.0000000Z,4.34,1005.87,277.04,-0.91,68.54,3.54
2020-01-01T16:00:00.0000000Z,3.74,1005.83,276.44,-1.13,70.4,3.48
2020-01-01T16:10:00.0000000Z,3.23,1005.78,275.93,-1.22,72.5,3.46
2020-01-01T16:20:00.0000000Z,2.99,1005.71,275.7,-1.28,73.4,3.45
2020-01-01T16:30:00.0000000Z,2.89,1005.71,275.6,-1.32,73.7,3.44
2020-01-01T16:40:00.0000000Z,2.77,1005.76,275.48,-1.38,74,3.42
